"","CC.Line","Animal_ID","Block","Freezer.days","Blaze","weight.change","log.spleen.CFU","log.spleen.CEQ","log.lung.CFU","log.lung.CEQ","Eotaxin","GCSF","GMCSF","IFNy","IL1a","IL1B","IL2","IL5","IL6","IL7","IL9","IL10","IL12_p40","IL12_p70","IL15","IL17","IP10","KC","LIF","LIX","MCP1","MCSF","MIG","MIP1a","MIP1b","MIP2","RANTES","TNFa","VEGF"
"33","CC003.Unc","CC003-3",1,7,1,-26.412,7.525,8.009,8.17,8.718,0.79657433321043,3.53004978308532,1.1156105116743,2.04139268515822,3.20290497444114,2.55435588322946,0.843232778098009,-0.187086643357144,2.83961629568029,0.313867220369153,1.97593704248311,0.613841821876069,-0.193820026016113,0.577491799837225,1.31868926994775,1.92505412031184,2.20782279900151,3.58185526099277,1.43376983392487,2.82629513504488,2.709888728896,1.46134843364798,3.13802150017683,3.58790057676675,3.36374356434457,4.13532573427362,1.55654370848351,2.38817227504779,1.27508089845686
"34","CC004.TauUnc","CC0004-1",1,7,1,-18.131,7.403,7.577,8.182,8.464,0.825426117767823,2.70424491842302,0.854913022307856,2.69910027314125,3.36481543112554,2.53328895800668,0.942008053022313,-0.397940008672038,2.43271280512539,-0.193820026016113,1.8670548004767,0.783188691075258,-0.638272163982407,0.639486489268586,0.879095879500073,1.43949059038968,2.22755250337986,3.16815557040591,1.22036963245139,2.78750298087036,2.9012348501877,1.58319877396862,3.1848106325504,3.0886958790206,3.0652023905642,3.96050169553704,1.45969397647797,2.24954076450164,0.911157608739977
"35","CC004.TauUnc","CC0004-2",1,7,1,-17.28,7.045,7.746,7.572,8.418,1.47943133719774,1.97146140502459,0.875639937004168,2.5487578285737,3.12293964526499,2.7255277814967,1.02897770520878,-0.585026652029182,2.26623169668989,0.346352974450639,2.34968539781031,0.528916700277655,1.05346260492546,0.639486489268586,1.25163822044821,1.50351831272407,2.16429335931446,3.50711478114373,1.27461961909124,2.97006779654914,2.46663039818139,1.16996817399689,3.08537264749315,2.40869776889579,2.63686886524394,3.32973338715348,1.89965638030564,2.02995164203684,0.33645973384853
"36","CC004.TauUnc","CC0004-3",1,7,1,-30,6.613,7.338,7.468,8.208,0.752048447819439,1.94304911100841,0.928395852256714,2.50127840917934,3.10397466938639,2.42517542072564,1.17055505852121,-0.657577319177794,2.17952306703528,0.588831725594207,2.15760785336167,0.783188691075258,1.07371835034612,0.505149978319906,1.21404867941194,1.44932409309873,2.18298496700358,3.38363586836188,1.11427729656159,2.96674697553981,2.43530275228461,1.20411998265592,2.9853096884076,2.37537093802906,2.51759173071191,3.33819544003648,1.51507867507592,1.95356641425701,0.222716471147583
"37","CC005.TauUnc","CC005-1",1,0,0,-1.733,7.593,7.995,8.14,8.898,0.851258348719075,2.99582378660045,0.734799829588847,0.865103974641128,2.91375029244284,2.44061000827234,0.492760389026837,-1.52287874528034,2.52962281813344,-2,1.6900187807887,0.260071387985075,-0.638272163982407,0.693726948923647,-0.537602002101044,1.52452593662638,2.09384176691213,3.03697603250804,1.19534605834842,2.59464664328383,1.87984105598656,1.40823996531185,2.9657236698669,2.87783764522375,2.59899830578636,3.97845352059739,1.23879856271392,2.04289038972924,0.77451696572855
"38","CC005.TauUnc","CC005-2",1,0,0,-5.507,7.857,7.945,NA,8.063,0.752048447819439,1.32469391386177,0.494154594018443,1.09933527768596,2.18763350995069,1.45224657452044,0.626340367375042,-1.52287874528034,1.37051308959859,-2,2.19334725638646,-0.853871964321762,-0.638272163982407,-0.508638306165727,-0.537602002101044,0.833784374656479,2.07283787466309,2.54293740823262,0.152288344383056,2.3807537708039,1.86433305503339,0.363611979892144,2.89933890156108,2.23286910513261,2.14860265480609,2.64221712947388,1.21827285357145,1.29556709996248,0.553883026643874
"39","CC005.TauUnc","CC005-3",1,0,0,-30,7.474,7.683,7.29,7.626,1.28578227377939,1.99286267138903,0.885361220031512,1.50582803385484,2.59458037250823,2.24804686935866,0.755874855672491,-1.52287874528034,2.34918035899638,-2,2.17661209999187,0.367355921026019,0.680335513414563,0.577491799837225,0.505149978319906,1.27806733088866,2.28348214704897,3.02741077170443,1.02160271602824,2.4944328987264,2.27653073433479,0.684845361644412,2.95135694988166,2.42558312478095,2.25411283957607,3.22187306942639,1.88846031803539,1.79042591739111,0.720985744153739
"40","CC006.TauUnc","CC006-1",1,2,0,-8.598,6.778,7.655,6.444,6.485,1.30059548388996,0.79309160017658,0.716837723299524,1.80016699020136,2.23545269126322,2.07598468474412,0.801403710017355,0.12057393120585,1.58342550040651,-2,2.08916299936493,0.426511261364575,1.15014216184856,-0.508638306165727,0.2405492482826,0.170261715394957,1.87349498225617,2.26230867474902,0.783903579272735,2.55110828364363,1.88874096068289,0.725094521081469,2.79194315397488,2.05165408411329,2.33629959576342,2.04119523369681,1.94851076883766,1.79260178116497,0.164352855784437
"41","CC006.TauUnc","CC006-2",1,2,0,24.733,6.602,7.144,6.397,6.674,1.23375736296551,0.309630167425899,0.716837723299524,1.18184358794477,2.2386481750578,1.72786644946749,1.04960561259497,-0.0457574905606751,0.60422605308447,0.346352974450639,2.21170775040669,0.551449997972875,1.28397928423848,-0.508638306165727,1.02077548819356,0.139879086401236,1.77641058880734,2.150572247669,0.318063334962762,2.52386347650669,1.60895369927586,0.583198773968623,2.8368998388589,1.70165431732575,2.04147164061375,2.04119523369681,2.00868531919517,1.16136800223497,0.287801729930226
"42","CC006.TauUnc","CC006-3",1,2,0,-4.25,7.021,6.64,NA,7.027,0.819543935541869,0.656098202012832,0.629409599102719,1.80085449150356,2.18571209987001,1.7942788657214,0.575187844927661,-1.52287874528034,1.64463550376815,-2,1.93646347400475,-0.508638306165727,-0.0757207139381184,-0.508638306165727,-0.537602002101044,0.0253058652647703,1.90374094062154,2.34216597641276,0.728353782021228,2.541891125096,1.86433305503339,0.492760389026837,2.80425531963824,2.05743786821294,2.34135537486371,1.766264090652,1.7131544018373,1.5194341949137,0.113943352306837
