"","spleenCFU","spleenCEQ","lungCFU","lungCEQ","Eotaxin","GCSF","IFNy","IL1a","IL1B","IL2","IL6","IL9","IL10","IL17","IP10","KC","LIF","LIX","MCP1","MCSF","MIG","MIP1a","MIP1b","MIP2","RANTES","TNFa","VEGF"
"CC023cs",7.597,7.32,8.411,8.8575,1.56241235768186,3.54835266239347,1.74932795409394,3.49644090308753,2.88267523177814,0.784410118024397,3.1366623407448,2.01903049654896,1.21336922964216,1.72948668247396,2.40933775697519,3.70489750220621,1.95994544686806,2.77257981485676,2.84889081455104,1.6761696690614,3.06730149686271,3.39892188757539,3.83592185687846,3.9983273356403,1.16116619067557,2.34927607083093,1.68754658741047
"CC024cs",6.7095,6.993,7.3215,7.7745,1.34782785482298,2.11085934510777,0.845149440216004,2.52711593122963,1.67489118786385,0.546191871438818,1.84429451964351,1.91158460150467,-0.368300334332999,1.19693915698985,2.01629830120186,2.75292625677607,0.88593478521704,2.42056153366158,1.72844336119799,0.938243440607373,2.85320363213952,2.5009976374125,2.34766858974593,2.97607468322878,1.49646214956468,1.62273862828237,0.373130225755921
"CC025cs",7.0845,7.3145,8.546,9.269,1.70155900748164,3.89090962735778,1.17656816936463,3.6088591213601,2.46607193392039,0.958303554523866,3.28975228420443,1.76415634410472,1.67712129061814,0.79027090341819,2.22126391520906,3.74728586522195,2.12051107104278,2.84093574995541,3.44163482061815,2.36065323296055,3.10219718036988,3.81022512294105,4.33160492008082,4.15936443922983,1.20071948534803,2.58397241939395,1.44143159486601
"CC027cs",7.9165,8.2735,8.2455,9.333,1.71935459986263,3.99860508648647,1.21432733191409,3.54317399544021,3.22854436966713,0.440412510466285,3.36898859326407,1.87094957377565,0.59633946976727,0.813697267735038,2.11705669838722,3.5061985033971,1.93125914488372,2.90299904670566,3.28936599745491,2.06052806912627,3.08371055477086,3.77134840852386,3.28292812935176,4.1272197289883,1.20267966964496,2.09532213884107,1.62946020776701
"CC028cs",5.447,5.63133333333333,6.73333333333333,6.97633333333333,1.28048885634536,1.09971434749032,1.76152243115675,2.23723949188637,1.69903325121873,1.13993625234782,1.30925694603266,2.05852903542262,0.161121866816919,1.8787216584314,1.82451743788461,2.61283428396412,0.550014261716725,2.59913894754374,1.8003563445125,0.533889070517701,2.67228139456272,2.0118091198153,2.13571457980835,2.32612665340471,1.77537335698995,1.10212071953536,0.993213216298528
"CC029cs",6.70166666666667,6.337,5.67366666666667,5.83833333333333,1.14717836262599,-0.286683851352956,1.70325650885027,1.80341027410811,1.70972628913586,0.709259705454792,0.57585670381373,2.01994931322263,-0.0741504630748965,-0.715677436323727,2.01369185670984,2.11627942155373,0.0607525615137042,2.59490731841861,2.03742106258321,0.473296470102702,2.89730909368729,1.53964023102523,1.84471217056098,1.66056240979587,1.91896706193015,0.913016642570102,0.315015350142005
"CC030cs",6.794,7.365,5.299402,6.606,1.11088689195953,2.20366349396887,0.865584788774345,2.11191399543133,0.989195495716712,0.18698561908889,1.08780083904515,1.80406888812061,0.479453871343601,-0.903437700822769,1.77240397392127,2.70261968508705,1.23716175641275,2.83791755438682,2.58135895856208,1.05509175277566,2.72851836788102,2.72348253588554,2.48190765889412,2.88545474243675,1.44361462176905,1.07068976401733,1.17887006638029
"CC031cs",6.505,6.635,6.29,6.293,1.10510105183509,2.12575865215278,1.65369260190023,3.26104439535355,2.67563736535586,0.569064472810347,1.79861004876481,1.83550436216351,0.575862615845636,0.0767549946504188,1.94574547973564,2.8805343658443,1.12565067977569,2.54800482163239,2.43360068649191,1.19378237741201,2.95323196651275,2.78540762584785,2.64128011058233,2.98198894072635,1.29275715399507,1.76587767345032,0.930091115825328
"CC032cs",7.215,7.367,8.54947,8.431,1.53367995866732,3.40329188343408,1.8805281207613,3.66182042453852,3.15257339208726,0.61494965948817,2.94330111466625,1.74484933416356,0.912225635018306,1.0216862482973,2.37959637197188,3.38946722792926,1.63841189756129,2.75257126518856,3.00293818279668,2.1158503902507,3.03928220240457,3.71468032146522,4.03383318881468,4.12217299897877,1.3712030825441,2.45051297063137,1.31642596299913
"CC033cs",7.5805,8.483241,7.0015,6.368,1.50637150948345,2.28312503494769,1.60784223975369,2.67909581765112,2.41334401544935,1.08534144706186,2.21848560440808,2.09079204402591,1.30428922263287,0.821210000151355,2.2628504058095,3.03593206544944,1.37880215935345,2.718894462114,2.64302563655375,1.38274851894672,2.92979637093106,2.52830741395184,2.35511546823454,3.09540925935096,1.12796895664644,1.61371417319371,1.01054997465011
